set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc,sensitivity,specificity,precision,recall,F1
fold 1,0.9999,0.9999,0.9830,0.9348,0.9670,0.9462,0.8837,1.0000,1.0000,0.8837,0.9383
fold 2,0.9999,0.9999,0.9824,0.9565,0.9839,0.9348,0.8864,0.9792,0.9750,0.8864,0.9286
fold 3,0.9998,0.9998,0.9986,0.9674,0.9786,0.9457,0.9286,0.9600,0.9512,0.9286,0.9398
fold 4,0.9999,0.9999,0.9730,0.9348,0.9986,0.9565,1.0000,0.9149,0.9184,1.0000,0.9574
fold 5,0.9999,0.9999,0.9839,0.9565,0.9730,0.9348,0.9545,0.9167,0.9130,0.9545,0.9333
fold 6,0.9999,0.9999,0.9824,0.9565,0.9830,0.9239,0.8936,0.9556,0.9545,0.8936,0.9231
fold 7,0.9999,0.9999,0.9933,0.9565,0.9782,0.9457,0.9388,0.9535,0.9583,0.9388,0.9485
fold 8,0.9999,0.9999,0.9910,0.9565,0.9929,0.9348,0.9524,0.9200,0.9091,0.9524,0.9302
fold 9,0.9998,0.9998,0.9953,0.9457,0.9877,0.9457,0.9348,0.9565,0.9556,0.9348,0.9451
fold 10,0.9999,0.9999,0.9763,0.9462,0.9934,0.9348,0.9592,0.9070,0.9216,0.9592,0.9400
ave.,1.0000,1.0000,0.9900,0.9500,0.9800,0.9400,0.9300,0.9500,0.9500,0.9300,0.9400
